Frequency [Hz],Maximum [dBm],Minimum [dBm],,
866271428.571429,-69.5240173339844,-85.6172256469727,,
866277777.777778,-74.2296905517578,-87.4812469482422,,
866284126.984127,-72.7642135620117,-87.7568664550781,,
866290476.190476,-72.806022644043,-90.5741424560547,,
866296825.396825,-72.5341796875,-91.0450973510742,,
866303174.603175,-66.7319488525391,-85.7977294921875,,
866309523.809524,-69.6666946411133,-90.0302810668945,,
866315873.015873,-71.8827056884766,-86.3315124511719,,
866322222.222222,-69.5731048583984,-86.6501388549805,,
866328571.428571,-68.5107574462891,-78.1221771240234,,
866334920.634921,-71.0540084838867,-90.2216491699219,,
866341269.84127,-66.7731475830078,-87.7111434936523,,
866347619.047619,-66.0940170288086,-83.048225402832,,
866353968.253968,-68.2066802978516,-84.0392456054688,,
866360317.460317,-70.630973815918,-80.7370147705078,,
866366666.666667,-65.750846862793,-79.4807281494141,,
866373015.873016,-66.0243377685547,-76.6336212158203,,
866379365.079365,-62.4061470031738,-75.6599273681641,,
866385714.285714,-60.0846252441406,-70.5971527099609,,
866392063.492064,-56.7896423339844,-68.0908126831055,,
866398412.698413,-55.75634765625,-61.384407043457,,
866404761.904762,-52.3055381774902,-57.6167640686035,,
866411111.111111,-50.0896530151367,-55.7868576049805,,
866417460.31746,-47.4161682128906,-51.9923782348633,,
866423809.52381,-43.7926330566406,-49.6047821044922,,
866430158.730159,-42.4848136901855,-46.7183952331543,,
866436507.936508,-39.4488372802734,-42.6847763061523,,
866442857.142857,-37.9399948120117,-40.5956344604492,,
866449206.349206,-35.7177429199219,-38.5764312744141,,
866455555.555556,-33.361026763916,-36.7546424865723,,
866461904.761905,-31.2205715179443,-33.9462814331055,,
866468253.968254,-29.0783309936523,-31.4600601196289,,
866474603.174603,-27.1009922027588,-29.1030979156494,,
866480952.380952,-25.892147064209,-27.3552055358887,,
866487301.587302,-24.2152233123779,-25.8897686004639,,
866493650.793651,-22.2134857177734,-24.3211975097656,,
866500000,-19.2519111633301,-22.5178241729736,,
866506349.206349,-18.3198757171631,-19.2241115570068,,
866512698.412698,-17.0378036499023,-18.306999206543,,
866519047.619048,-15.7089939117432,-17.0373630523682,,
866525396.825397,-14.6431541442871,-15.7005577087402,,
866531746.031746,-13.9549694061279,-14.6288738250732,,
866538095.238095,-12.9931030273438,-13.9352111816406,,
866544444.444444,-12.1748676300049,-13.0043659210205,,
866550793.650794,-11.543399810791,-12.1670570373535,,
866557142.857143,-11.104024887085,-11.5370388031006,,
866563492.063492,-10.576301574707,-11.114387512207,,
866569841.269841,-10.2269077301025,-10.5888919830322,,
866576190.47619,-10.0325126647949,-10.2234001159668,,
866582539.68254,-9.82000541687012,-10.0286846160889,,
866588888.888889,-9.75732421875,-9.82148742675781,,
866595238.095238,-9.75767707824707,-9.7846851348877,,
866601587.301587,-9.78653335571289,-9.91690444946289,,
866607936.507936,-9.91763877868652,-10.1832637786865,,
866614285.714286,-10.1836318969727,-10.4216537475586,,
866620634.920635,-10.4264316558838,-10.8924961090088,,
866626984.126984,-10.873119354248,-11.5015983581543,,
866633333.333333,-11.5065593719482,-11.9273662567139,,
866639682.539683,-11.9297332763672,-12.8757019042969,,
866646031.746032,-12.8166370391846,-13.627046585083,,
866652380.952381,-13.6380043029785,-14.3186531066895,,
866658730.15873,-14.3336544036865,-15.5384883880615,,
866665079.365079,-15.546028137207,-16.2438125610352,,
866671428.571429,-16.25510597229,-17.9564914703369,,
866677777.777778,-17.8315849304199,-19.0059776306152,,
866684126.984127,-19.0148143768311,-20.3620891571045,,
866690476.190476,-20.0354919433594,-22.1175079345703,,
866696825.396825,-22.1355304718018,-23.5723285675049,,
866703174.603175,-23.3996315002441,-25.3754615783691,,
866709523.809524,-25.3840847015381,-26.6377468109131,,
866715873.015873,-26.4964218139648,-29.1205825805664,,
866722222.222222,-29.0692539215088,-30.233850479126,,
866728571.428571,-30.2192192077637,-33.2059898376465,,
866734920.634921,-32.8858795166016,-34.6345367431641,,
866741269.84127,-34.6937713623047,-37.7213745117188,,
866747619.047619,-37.0890350341797,-39.7061157226563,,
866753968.253968,-39.7793006896973,-42.9998664855957,,
866760317.460317,-41.5582427978516,-44.3608856201172,,
866766666.666667,-44.4436721801758,-47.900260925293,,
866773015.873016,-46.8264236450195,-49.4557647705078,,
866779365.079365,-49.2249565124512,-53.3734550476074,,
866785714.285714,-51.611572265625,-56.0083923339844,,
866792063.492064,-54.3561477661133,-59.9919967651367,,
866798412.698413,-58.0750885009766,-64.1051559448242,,
866804761.904762,-59.8775825500488,-67.1772766113281,,
866811111.111111,-64.3266143798828,-71.1924438476563,,
866817460.31746,-65.235969543457,-73.7626647949219,,
866823809.52381,-66.8310546875,-77.8830413818359,,
866830158.730159,-69.2832794189453,-83.4843444824219,,
866836507.936508,-67.902587890625,-82.357292175293,,
866842857.142857,-66.9053726196289,-81.4188232421875,,
866849206.349206,-65.7579879760742,-86.705810546875,,
866855555.555556,-68.6543121337891,-84.9683380126953,,
866861904.761905,-71.9165573120117,-81.4325790405273,,
866868253.968254,-70.4253082275391,-87.16064453125,,
866874603.174603,-69.1267318725586,-89.5752410888672,,
866880952.380952,-68.2787475585938,-77.0557708740234,,
866887301.587302,-72.2257080078125,-89.9055709838867,,
866893650.793651,-69.5909423828125,-83.7793197631836,,
866900000,-67.1685180664063,-83.5994491577148,,
866906349.206349,-69.4813995361328,-80.4501495361328,,
866912698.412698,-71.3025131225586,-80.6244430541992,,
866919047.619048,-68.6891326904297,-95.094612121582,,
866925396.825397,-71.3016128540039,-94.4878234863281,,
866931746.031746,-71.0326995849609,-92.9487609863281,,
866938095.238095,-67.9023742675781,-78.125129699707,,
866944444.444444,-72.0855941772461,-90.1241073608398,,
866950793.650794,-72.6953659057617,-85.1864929199219,,
866957142.857143,-70.7173461914063,-80.9341735839844,,
866963492.063492,-68.0288848876953,-83.016227722168,,
866969841.269841,-69.6148376464844,-83.6517181396484,,
866976190.47619,-75.360237121582,-86.8898162841797,,
866982539.68254,-71.2210235595703,-87.6700744628906,,
866988888.888889,-66.6158676147461,-84.925651550293,,
866995238.095238,-71.6579437255859,-85.9806747436523,,
867001587.301587,-76.3547515869141,-87.0595474243164,,
867007936.507936,-75.09326171875,-87.1430206298828,,
867014285.714286,-72.5893478393555,-86.6160278320313,,
867020634.920635,-74.2607040405273,-88.8049850463867,,
867026984.126984,-72.3730392456055,-77.3127746582031,,
867033333.333333,-69.5087432861328,-96.8375701904297,,
867039682.539683,-73.0407943725586,-91.8885650634766,,
867046031.746032,-70.4140548706055,-85.5167465209961,,
867052380.952381,-72.3671493530273,-85.2299728393555,,
867058730.15873,-70.5242462158203,-88.2854614257813,,
867065079.365079,-72.3715057373047,-85.4135131835938,,
867071428.571429,-73.1013641357422,-89.2430038452148,,
867077777.777778,-74.0911331176758,-100.121940612793,,
867084126.984127,-73.7606658935547,-87.4837036132813,,
867090476.190476,-69.5976104736328,-88.5115661621094,,
867096825.396825,-70.2352066040039,-88.2641448974609,,
867103174.603175,-69.807975769043,-93.0713424682617,,
867109523.809524,-71.2806091308594,-85.9734420776367,,
867115873.015873,-71.6058654785156,-84.4545288085938,,
867122222.222222,-72.4677505493164,-87.9180679321289,,
867128571.428571,-68.8883819580078,-90.8249816894531,,
867134920.634921,-75.0713882446289,-89.8940734863281,,
867141269.84127,-72.7542572021484,-86.5570526123047,,
867147619.047619,-72.6345748901367,-89.7832717895508,,
867153968.253968,-73.2954177856445,-89.3778305053711,,
867160317.460317,-74.7600250244141,-91.5456771850586,,
867166666.666667,-73.1207580566406,-89.3984832763672,,
867173015.873016,-74.5502471923828,-83.6130599975586,,
867179365.079365,-75.3498687744141,-86.4247894287109,,
867185714.285714,-73.9795455932617,-83.81494140625,,
867192063.492064,-70.6663055419922,-86.0281524658203,,
867198412.698413,-75.9697952270508,-89.2139511108398,,
867204761.904762,-73.7681350708008,-90.2084197998047,,
867211111.111111,-74.9574737548828,-85.2210922241211,,
867217460.31746,-72.4966125488281,-83.9715270996094,,
